@relation DFED_10_BOW_weka-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Class {0,1}
@attribute TextLength numeric
@attribute 2e numeric
@attribute bank numeric
@attribute br numeric
@attribute div numeric
@attribute million numeric
@attribute money numeric
@attribute mr numeric
@attribute nbsp numeric
@attribute transaction numeric
@attribute transfer numeric

@data
1,0.014451,0.000409,0,0,0,0,0,0,0,0,0
0,0.000322,0,0,0,0,0,0,0,0,0,0
1,0.028025,0,0,0,0,0,0,0,0,0,0
1,0.044874,0,0.25,0,0,0,0,0.025862,0,0.125,0
0,0.000516,0,0,0,0,0,0,0,0,0,0
0,0.002153,0,0,0,0,0,0,0,0,0,0
0,0.001457,0,0,0,0,0,0,0,0,0,0
0,0.004744,0,0,0,0,0,0,0,0,0,0
1,0.043752,0.007771,0.333333,0,0,0.028571,0.003861,0,0,0.0625,2
0,0.002127,0,0,0,0,0,0,0,0,0,0
0,0.002398,0,0,0,0,0,0,0,0,0,0
0,0.000902,0,0,0,0,0,0,0,0,0,0
1,0.028115,0,0.041667,0,0,0.028571,0,0.017241,0,0.0625,0
1,0.039795,0,0.25,0.002941,0,0.028571,0.007722,0.017241,0,0,3
0,0.006613,0,0,0,0,0,0,0,0,0,0
1,0.045402,0,0,0,0,0.028571,0.034749,0,0,0.0625,1
0,0.000438,0,0,0,0,0,0,0,0,0,0
0,0.002333,0,0,0,0,0,0,0,0,0,0
0,0.000284,0,0,0,0,0,0,0,0,0,0
1,0.012208,0,0,0,0,0,0,0,0,0,0
0,0.002565,0,0,0,0,0,0,0,0,0,0
1,0.021451,0,0.125,0,0,0.057143,0.007722,0,0,0,0
0,0.021954,0,0,0,0,0,0,0,0,0,0
0,0.000026,0,0,0,0,0,0,0,0,0,0
1,0.053446,0,0,0,0,0.342857,0,0,0,0,0
0,0.009372,0,0,0,0,0,0,0,0,0,0
0,0.002166,0,0,0,0,0,0,0,0,0,0
0,0.002024,0,0,0,0,0,0,0,0,0,0
0,0.000155,0,0,0,0,0,0,0,0,0,0
0,0.000013,0,0,0,0,0,0,0,0,0,0
1,0.032498,0,0.166667,0,0,0.028571,0.003861,0,0,0,0
1,0.077011,0,0,0,0,0,0,0,0,0,0
1,0.004022,0,0,0,0,0.028571,0,0,0,0,0
0,0.006626,0,0,0,0,0,0,0,0,0,0
0,0.001302,0,0,0,0,0,0,0,0,0,0
0,0.003945,0,0,0,0,0,0,0,0,0,0
0,0.000026,0,0,0,0,0,0,0,0,0,0
1,0.042244,0,0.041667,0,0,0.057143,0,0,0,0.3125,3
1,0.007657,0,0,0,0,0,0.003861,0,0,0.0625,1
1,0.038673,0,0.25,0,0,0.057143,0.027027,0.034483,0,0.25,2
1,0.050005,0.011043,0,0,0,0.028571,0.03861,0.008621,0,0.5,4
1,0.034651,0,0.25,0,0,0.057143,0.003861,0.017241,0,0.375,1
1,0.005156,0,0,0,0,0.028571,0,0,0,0,0
0,0.033659,0,0.166667,0,0,0,0,0,0,0,0
0,0.000013,0,0,0,0,0,0,0,0,0,0
0,0.000219,0,0,0,0,0,0,0,0,0,0
1,0.044784,0.003681,0,0,0,0.028571,0.011583,0.017241,0,0,0
1,0.003777,0,0,0,0,0,0,0,0,0,0
0,0.000374,0,0,0,0,0,0,0,0,0,0
0,0.000284,0,0,0,0,0,0,0,0,0,0
1,0.018035,0,0.041667,0.032353,0,0,0,0.008621,0.001704,0.125,0
1,0.037681,0,0,0,0,0.028571,0.007722,0,0,0.0625,0
1,0.005878,0,0,0,0,0,0,0,0,0,0
0,0.002462,0,0,0,0,0,0,0,0,0,0
0,0.000026,0,0,0,0,0,0,0,0,0,0
1,0.034832,0,0.166667,0,0,0,0.015444,0,0,0.0625,2
1,0.034393,0.003681,0.083333,0,0,0.028571,0.007722,0.017241,0,0,1
1,0.000683,0,0,0,0,0,0,0,0,0,0
0,0.000026,0,0,0,0,0,0,0,0,0,0
1,0.039988,0,0.25,0,0,0.028571,0.011583,0.043103,0,0.3125,2
1,0.03759,0,0.166667,0,0,0.085714,0.027027,0.034483,0,0.125,3
0,0.000026,0,0,0,0,0,0,0,0,0,0
0,0.001534,0,0,0,0,0,0,0,0,0,0
0,0.001147,0,0,0,0,0,0,0,0,0,0
1,0.017867,0,0.083333,0,0,0,0,0,0,0.25,1
1,0.041264,0,0.291667,0,0,0.028571,0.027027,0.017241,0,0.0625,1
1,0.017081,0,0,0,0,0.057143,0,0,0,0.0625,1
1,0.050417,0,0.083333,0.023529,0.319149,0.028571,0.011583,0.017241,0.073254,0.125,1
0,0.012865,0,0,0,0,0,0,0,0,0,0
1,0.050043,0,0.041667,0,0,0,0,0.008621,0,0.25,0
1,0.051758,0,0.083333,0.047059,0.241135,0.028571,0.003861,0.008621,0.117547,0.1875,1
0,0.000709,0,0,0,0,0,0,0,0,0,0
1,0.019517,0,0.125,0,0,0.028571,0.003861,0.008621,0,0,1
0,0.000026,0,0,0,0,0,0,0,0,0,0
0,0.002424,0,0,0,0,0,0,0,0,0,0
0,0.001212,0,0,0,0,0,0,0,0,0,0
1,0.050146,0,0.291667,0,0,0.085714,0.019305,0,0,0.0625,3
0,0.001366,0,0,0,0,0,0,0,0,0,0
1,0.046601,0,0.25,0.194118,0.021277,0.028571,0.011583,0.043103,0.001704,0.125,2
0,0.000219,0,0,0,0,0,0,0,0,0,0
1,0.039305,0.005317,0,0,0,0,0.003861,0.008621,0,0.125,0
0,0.000142,0,0,0,0,0,0,0,0,0,0
1,0.041355,0,0,0.182353,0,0,0.011583,0.008621,0,0.1875,0
0,0,0,0,0,0,0,0,0,0,0,0
