Class,TextLength,2e,bank,br,div,million,money,mr,nbsp,transaction,transfer
1,1121,1,0,0,0,0,0,0,0,0,0
0,25,0,0,0,0,0,0,0,0,0,0
1,2174,0,0,0,0,0,0,0,0,0,0
1,3481,0,6,0,0,0,0,3,0,2,0
0,40,0,0,0,0,0,0,0,0,0,0
0,167,0,0,0,0,0,0,0,0,0,0
0,113,0,0,0,0,0,0,0,0,0,0
0,368,0,0,0,0,0,0,0,0,0,0
1,3394,19,8,0,0,1,1,0,0,1,2
0,165,0,0,0,0,0,0,0,0,0,0
0,186,0,0,0,0,0,0,0,0,0,0
0,70,0,0,0,0,0,0,0,0,0,0
1,2181,0,1,0,0,1,0,2,0,1,0
1,3087,0,6,1,0,1,2,2,0,0,3
0,513,0,0,0,0,0,0,0,0,0,0
1,3522,0,0,0,0,1,9,0,0,1,1
0,34,0,0,0,0,0,0,0,0,0,0
0,181,0,0,0,0,0,0,0,0,0,0
0,22,0,0,0,0,0,0,0,0,0,0
1,947,0,0,0,0,0,0,0,0,0,0
0,199,0,0,0,0,0,0,0,0,0,0
1,1664,0,3,0,0,2,2,0,0,0,0
0,1703,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0
1,4146,0,0,0,0,12,0,0,0,0,0
0,727,0,0,0,0,0,0,0,0,0,0
0,168,0,0,0,0,0,0,0,0,0,0
0,157,0,0,0,0,0,0,0,0,0,0
0,12,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,2521,0,4,0,0,1,1,0,0,0,0
1,5974,0,0,0,0,0,0,0,0,0,0
1,312,0,0,0,0,1,0,0,0,0,0
0,514,0,0,0,0,0,0,0,0,0,0
0,101,0,0,0,0,0,0,0,0,0,0
0,306,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0
1,3277,0,1,0,0,2,0,0,0,5,3
1,594,0,0,0,0,0,1,0,0,1,1
1,3000,0,6,0,0,2,7,4,0,4,2
1,3879,27,0,0,0,1,10,1,0,8,4
1,2688,0,6,0,0,2,1,2,0,6,1
1,400,0,0,0,0,1,0,0,0,0,0
0,2611,0,4,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,17,0,0,0,0,0,0,0,0,0,0
1,3474,9,0,0,0,1,3,2,0,0,0
1,293,0,0,0,0,0,0,0,0,0,0
0,29,0,0,0,0,0,0,0,0,0,0
0,22,0,0,0,0,0,0,0,0,0,0
1,1399,0,1,11,0,0,0,1,1,2,0
1,2923,0,0,0,0,1,2,0,0,1,0
1,456,0,0,0,0,0,0,0,0,0,0
0,191,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0
1,2702,0,4,0,0,0,4,0,0,1,2
1,2668,9,2,0,0,1,2,2,0,0,1
1,53,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0
1,3102,0,6,0,0,1,3,5,0,5,2
1,2916,0,4,0,0,3,7,4,0,2,3
0,2,0,0,0,0,0,0,0,0,0,0
0,119,0,0,0,0,0,0,0,0,0,0
0,89,0,0,0,0,0,0,0,0,0,0
1,1386,0,2,0,0,0,0,0,0,4,1
1,3201,0,7,0,0,1,7,2,0,1,1
1,1325,0,0,0,0,2,0,0,0,1,1
1,3911,0,2,8,90,1,3,2,43,2,1
0,998,0,0,0,0,0,0,0,0,0,0
1,3882,0,1,0,0,0,0,1,0,4,0
1,4015,0,2,16,68,1,1,1,69,3,1
0,55,0,0,0,0,0,0,0,0,0,0
1,1514,0,3,0,0,1,1,1,0,0,1
0,2,0,0,0,0,0,0,0,0,0,0
0,188,0,0,0,0,0,0,0,0,0,0
0,94,0,0,0,0,0,0,0,0,0,0
1,3890,0,7,0,0,3,5,0,0,1,3
0,106,0,0,0,0,0,0,0,0,0,0
1,3615,0,6,66,6,1,3,5,1,2,2
0,17,0,0,0,0,0,0,0,0,0,0
1,3049,13,0,0,0,0,1,1,0,2,0
0,11,0,0,0,0,0,0,0,0,0,0
1,3208,0,0,62,0,0,3,1,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0
1,601,0,0,0,0,0,0,0,0,1,0
0,172,0,0,0,0,0,0,0,0,0,0
1,1499,6,0,0,0,0,2,0,0,1,0
0,133,0,0,0,0,0,0,0,0,0,0
0,24,0,0,0,0,0,0,0,0,0,0
0,80,0,0,0,0,0,0,0,0,0,0
0,412,0,0,0,0,0,0,0,0,0,0
0,75,0,0,0,0,0,0,0,0,0,0
1,321,0,0,0,0,0,0,0,0,0,0
0,23,0,0,0,0,0,0,0,0,0,0
0,37,0,0,0,0,0,0,0,0,0,0
1,3201,0,1,0,0,2,3,1,0,3,0
0,1,0,0,0,0,0,0,0,0,0,0
0,579,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0
0,516,0,0,0,0,0,0,0,0,0,0
0,83,0,0,0,0,0,0,0,0,0,0
1,3470,0,0,0,0,0,0,0,0,0,0
1,3071,0,1,0,0,1,1,1,0,2,1
1,234,0,0,0,0,0,0,0,0,1,0
0,22,0,0,0,0,0,0,0,0,0,0
1,1885,8,0,0,0,1,3,0,0,1,1
0,123,0,0,0,0,0,0,0,0,0,0
0,81,0,0,0,0,0,0,0,0,0,0
1,1913,11,0,0,0,1,3,1,0,1,0
1,3229,0,15,0,0,1,10,3,0,3,2
0,53,0,0,0,0,0,0,0,0,0,0
0,73,0,0,0,0,0,0,0,0,0,0
0,153,0,0,0,0,0,0,0,0,0,0
1,3333,16,2,0,0,1,3,0,0,0,0
0,167,0,0,0,0,0,0,0,0,0,0
0,3914,0,0,0,0,0,0,0,0,0,0
0,71,0,0,0,0,0,0,0,0,0,0
1,2756,15,2,0,0,0,0,2,0,7,1
0,9994,0,0,0,0,0,0,0,0,0,0
1,3491,0,1,0,0,4,0,0,0,2,0
0,21,0,0,0,0,0,0,0,0,0,0
0,21,0,0,0,0,0,0,0,0,0,0
0,7659,0,0,0,0,0,0,0,0,0,0
0,142,0,0,0,0,0,0,0,0,0,0
0,24,0,0,0,0,0,0,0,0,0,0
0,67,0,0,0,0,0,0,0,0,0,0
0,340,0,0,0,0,0,0,0,0,0,0
1,2290,0,0,0,0,1,1,2,0,3,2
1,2371,8,0,0,0,0,9,1,0,1,0
0,89,0,0,0,0,0,0,0,0,0,0
0,1610,0,0,0,0,0,0,0,0,0,0
0,68,0,0,0,0,0,0,0,0,0,0
0,874,0,0,0,0,0,0,0,0,0,0
1,2739,0,7,0,0,1,3,1,0,0,0
0,44,0,0,0,0,0,0,0,0,0,0
