Class,TextLength,2e,account,bank,br,div,kin,mail,million,money,mr,nbsp,security,state,strong,sum,time,transaction,transfer,united,years
1,1121,11.220378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2174,0,0,0,0,0,30.654306,0,0,0,0,0,0,0,0,0,0,0,0,0,11.957344
1,3481,0,20.165749,27.666325,0,0,29.004257,9.149989,0,0,12.674459,0,0,21.914688,0,0,9.082874,23.914688,0,22.440756,11.957344
0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,167,0,0,0,0,0,0,0,0,0,0,0,0,10.957344,0,0,0,0,0,0,0
0,113,0,0,0,0,0,0,0,0,0,0,0,0,10.957344,0,0,0,0,0,0,0
0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3394,38.05669,27.546623,29.204857,0,0,0,0,10.734952,12.542306,0,0,0,0,0,11.957344,9.082874,11.957344,21.084612,11.220378,11.957344
0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,186,0,0,0,0,0,0,0,0,0,0,0,0,21.914688,0,0,0,0,0,0,0
0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2181,0,10.082874,9.734952,0,0,0,18.299978,10.734952,0,10.695099,0,21.914688,0,0,11.957344,0,11.957344,0,11.220378,0
1,3087,0,20.165749,27.666325,8.734952,0,30.654306,9.149989,10.734952,25.084612,10.695099,0,0,0,0,0,9.082874,0,24.986776,0,11.957344
0,513,0,0,0,0,0,0,0,0,0,0,0,0,10.957344,0,0,0,0,0,0,0
1,3522,0,0,0,0,0,0,0,10.734952,38.379726,0,0,29.935692,10.957344,0,11.957344,0,11.957344,10.542306,22.440756,0
0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,947,0,0,0,0,0,0,9.149989,0,0,0,0,0,0,0,0,0,0,0,0,0
0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1664,0,20.165749,23.073233,0,0,0,0,21.469904,25.084612,0,0,0,0,0,23.914688,9.082874,0,0,0,0
0,1703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.082874,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4146,0,0,0,0,0,0,0,34.318676,0,0,0,0,10.957344,0,0,0,0,0,0,23.914688
0,727,0,0,0,0,0,0,0,0,0,0,0,0,25.970476,0,0,0,0,0,0,0
0,168,0,0,0,0,0,0,0,0,0,0,0,0,10.957344,0,0,0,0,0,0,0
0,157,0,0,0,0,0,0,0,0,0,0,0,0,10.957344,0,0,0,0,0,0,0
0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2521,0,0,25.164486,0,0,0,0,10.734952,12.542306,0,0,0,0,0,0,18.165749,0,0,0,0
1,5974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,312,0,0,0,0,0,0,0,10.734952,0,0,0,0,0,0,0,0,0,0,0,0
0,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
